title,level,language,subtitles,price,n_enrolled
Introducción a la ciencia de datos y sus aplicaciones,Introductory,Español,Español,39,21419.0
"Biochemistry: Biomolecules, Methods, and Mechanisms",Intermediate,English,English,150,18660.0
Astronomía Virtual,Introductory,Español,"English, Español",29,22717.0
Nutrition and Cancer,Intermediate,English,English,99,17931.0
Build your very first iOS app,Introductory,English,English,149,98553.0
Object-Oriented Programming,Introductory,English,English,149,78232.0
Introduction to Jenkins,Introductory,English,English,199,18470.0
Conducting an Informational Interview,Introductory,English,English,99,10954.0
Liderazgo y comportamiento organizacional,Introductory,Español,Español,149,37564.0
Creative Coding,Introductory,English,English,249,39155.0
Análisis estadístico con Excel,Introductory,Español,Español,49,67961.0
Introducción a la Ingeniería del Software,Introductory,Español,Español,49,35720.0
Computer Graphics,Intermediate,English,"English, 中文",99,27239.0
Data Science: Computational Thinking with Python,Introductory,English,English,199,6703.0
Comunicación efectiva para el líder actual,Introductory,Español,Español,149,51493.0
Debate y argumentación,Introductory,Español,Español,49,35529.0
Deep Learning with Tensorflow,Intermediate,English,English,99,30313.0
Machine Learning (aprendizaje automático) con Python: una introducción práctica,Introductory,Español,Español,49,39113.0
Essential Human Biology: Cells and Tissues,Introductory,English,English,169,21972.0
"Writing, Presenting and Submitting Scientific Papers in English | 英文科技论文写作与学术报告",Intermediate,English,English,49,45145.0
Computing in Python III: Data Structures,Introductory,English,English,99,51402.0
Introduction to Internet of Things (IoT),Introductory,English,English,49,17484.0
Nutrition and Health: Food Risks,Introductory,English,English,49,6558.0
Mechanics: Kinematics and Dynamics,Intermediate,English,English,49,42262.0
Storytelling for Social Change,Introductory,English,English,49,31326.0
Introduction to Data Analytics for Managers,Introductory,English,English,49,6528.0
Qualitative Research Methods: Conversational Interviewing,Intermediate,English,English,49,54075.0
International Project Management,Advanced,English,English,150,31024.0
Software Development Fundamentals,Intermediate,English,English,149,13608.0
"First Nights - Stravinsky’s Rite of Spring: Modernism, Ballet, and Riots",Introductory,English,English,49,44252.0
Critical Thinking & Problem Solving,Introductory,English,English,199,43981.0
Data Analysis Essentials,Introductory,English,English,79,16029.0
Master Control in Supply Chain Management and Logistics,Introductory,English,English,49,35440.0
Work and Employment for a Sustainable Future,Intermediate,English,English,49,16268.0
Foundations of Data Structures,Intermediate,English,English,149,25553.0
"Financial Programming and Policies, Part 1: Macroeconomic Accounts & Analysis",Intermediate,English,English,25,6431.0
IoT System Design: Software and Hardware Integration,Intermediate,English,English,99,28112.0
English for Doing Business in Asia – Writing,Introductory,English,English,60,18613.0
Working in Teams: A Practical Guide,Introductory,English,English,49,18595.0
Introducción a los encofrados y las cimbras en obra civil y edificación,Introductory,Español,Español,50,10265.0
AI Chatbots without Programming,Introductory,English,English,99,17344.0
Introducción a la Ciencia de Datos y el Big Data,Intermediate,Español,Español,49,6341.0
Just Money: Banking as if Society Mattered,Introductory,English,English,49,36917.0
Introducción a R,Introductory,Español,Español,49,35524.0
Computing in Python IV: Objects & Algorithms,Introductory,English,English,99,13042.0
Adobe Illustrator: aprende a crear presentaciones de impacto,Introductory,Español,Español,15,13036.0
Teaching Critical Thinking through Art with the National Gallery of Art,Introductory,English,"English, Español, Français, 中文",25,39398.0
Word intermedio: herramientas de formato y productividad,Intermediate,Español,Español,50,9715.0
Introducción a las finanzas: Principios de valoración,Intermediate,Español,Español,49,43415.0
Aprende a diseñar jardines verticales y cuadros vivos,Introductory,Español,Español,29,18974.0
"Anatomy: Cardiovascular, Urinary, and Respiratory Systems",Introductory,English,English,49,82210.0
Software Engineering: Introduction,Advanced,English,English,125,35811.0
Structure of Materials,Intermediate,English,English,150,86850.0
Fundamentos de fotografía documental,Introductory,Español,Español,49,68706.0
AP® Italian Language and Culture (2020-2021),Advanced,Italiano,Italiano,49,43401.0
Computer Hardware and Operating Systems,Introductory,English,English,150,12005.0
Marketing Management,Advanced,English,English,214,32726.0
You Can Innovate: User  Innovation & Entrepreneurship,Introductory,English,English,49,23808.0
Analytics in Python,Intermediate,English,Sin dato,249,44642.0
Bases Matemáticas: Álgebra,Introductory,Español,Español,50,50588.0
HTML5 Apps and Games,Advanced,English,English,199,6293.0
MATLAB and Octave for Beginners,Introductory,English,English,139,33303.0
AP Physics 1,Introductory,English,English,49,270376.0
The Divine Comedy: Dante's Journey to Freedom,Introductory,English,English,49,7165.0
Linux Basics: The Command Line Interface,Introductory,English,English,49,6616.0
Entrepreneurial Operations: Launching a Startup,Intermediate,English,English,149,19010.0
Maths Essentials,Introductory,English,English,79,11922.0
"Marketing Analytics: Products, Distribution and Sales",Intermediate,English,English,249,5855.0
Marketing Innovative Products and Services,Introductory,English,English,149,83322.0
Just Reading and Writing in English | 生活英语读写,Introductory,English,English,149,18489.0
Introduction to Java Programming – Part 1,Introductory,English,English,99,5742.0
Comunicación y Redacción Digital,Introductory,Español,Español,29,31368.0
Monetary Policy Analysis and Forecasting,Advanced,English,English,25,99971.0
Basic Analytical Chemistry,Introductory,English,English,49,5683.0
Identifying Entrepreneurial Opportunities,Introductory,English,English,149,18849.0
"ChinaX Book Club: Five Authors, Five Books, Five Views of China",Introductory,English,English,139,32140.0
Astrophysics: Cosmology,Intermediate,English,English,50,48439.0
Japanese Culture and Language (I) |日语与日本文化（1）,Introductory,中文,"日本語, 中文",139,7668.0
COVID-19 Training for Healthcare Workers,Introductory,English,English,10,37558.0
The Rise of Superheroes and Their Impact On Pop Culture,Introductory,English,English,50,93965.0
Introduction to Aeronautical Engineering,Introductory,English,English,50,12230.0
Diseño de Jardines,Introductory,Español,Español,29,14627.0
"Introducción al griego clásico: lengua, nombres y mitología",Introductory,Español,Español,49,6416.0
Deep Learning Fundamentals with Keras,Intermediate,English,English,99,36370.0
Existential Well-being Counseling: A Person-centered Experiential Approach,Introductory,English,English,49,10355.0
Solid Waste Management,Introductory,English,English,5,18294.0
Retail Fundamentals,Intermediate,English,English,99,18029.0
Greatest Unsolved Mysteries of the Universe,Intermediate,English,English,50,51590.0
"Money Markets, Foreign Exchange and Time Value of Money",Introductory,English,English,199,13300.0
Gestión de Contenidos Digitales y Marketing Turístico de Ciudad,Introductory,Español,Español,49,18331.0
Designing the User Experience,Introductory,English,English,199,7605.0
Introduction to Bioconductor,Intermediate,English,English,149,46610.0
Connected Strategy,Intermediate,English,English,199,5473.0
Hybrid Vehicles,Advanced,English,English,249,8089.0
First Nights - Handel's Messiah and Baroque Oratorio,Introductory,English,English,49,43993.0
Statistical Inference and Modeling for High-throughput Experiments,Intermediate,English,English,149,68199.0
First Nights - Monteverdi’s L’Orfeo and the Birth of Opera,Introductory,English,English,49,6824.0
18th-Century Opera: Handel & Mozart,Introductory,English,English,99,9927.0
Introduction to video game development with Unity,Intermediate,English,English,50,8080.0
Best Practices for Project Management Success,Intermediate,English,English,150,26850.0
Fundamentos de la Tecnología Blockchain,Introductory,Español,Español,49,11655.0
Coaching Skills for Learner-Centred Conversations,Introductory,English,English,49,26659.0
Intellectual Property Law and Policy: Part 1,Intermediate,English,English,169,5306.0
Robotics,Advanced,English,English,249,16339.0
La gestion des ressources humaines,Introductory,Français,Français,99,13263.0
Writing for Social Justice,Introductory,English,English,50,32635.0
Steps in Japanese for Beginners1 Part2,Introductory,English,"English, 日本語",99,21970.0
Case Studies in Functional Genomics,Advanced,English,English,149,42834.0
Essential Career Skills for Investment Banking and Finance,Introductory,English,English,49,75464.0
Data Structures and Software Design,Intermediate,English,English,149,54249.0
Unconscious Bias: From Awareness to Action,Introductory,English,English,49,36787.0
Cybersecurity for Critical Urban Infrastructure,Advanced,English,English,100,17713.0
"Agile Process, Project, and Program Controls",Advanced,English,English,199,9512.0
Risk Management in Development Projects,Intermediate,English,English,25,10962.0
"Pintura europea: Leonardo, Rembrandt, Goya",Introductory,Español,Español,29,5001.0
Risk & Return,Introductory,English,English,225,7180.0
Project Management of Engineering Projects: Preparing for Success,Intermediate,English,English,99,29171.0
Supply Chain Dynamics,Advanced,English,English,299,0.0
AWS Developer: Building on AWS,Advanced,English,English,149,8771.0
Financial Accounting Made Fun: Eliminating Your Fears,Introductory,English,English,199,52369.0
PredictionX: John Snow and the Cholera Epidemic of 1854,Introductory,English,English,25,0.0
Gestión de operaciones,Introductory,Español,"English, Español",119,33072.0
Microeconomics & Business,Introductory,English,English,79,31533.0
Inteligencia artificial: Chatbots sin programación,Introductory,Español,English,49,13124.0
Diseño e innovación de modelo de negocios,Advanced,Español,English,99,6238.0
Unlocking Investment and Finance in Emerging Markets and Developing Economies (EMDEs),Introductory,English,English,5,9503.0
Business Communication,Introductory,English,English,199,7346.0
Gestão de riscos em projetos,Intermediate,Português,Português,25,7868.0
Vocal Recording Technology,Introductory,English,English,49,21291.0
Agua 2.0: empresas eficientes para el siglo XXI,Introductory,Español,Español,25,12888.0
IoT Sensors and Devices,Introductory,English,English,199,23408.0
Introducción a las tecnologías para la Educación,Introductory,Español,Español,49,14937.0
Fundamentos de la guitarra eléctrica y acústica,Introductory,Español,Español,49,32810.0
e-Learning on Digital Agriculture,Introductory,English,English,5,12639.0
Exploring GraphQL: A Query Language for APIs,Introductory,English,English,149,64387.0
EmSAT English Preparation - Level 2,Intermediate,English,English,49,5763.0
The Data Science Method,Introductory,English,English,39,27114.0
"Plato, Socrates, and the Birth of Western Philosophy | 西方哲学精神探源",Introductory,English,"English, 中文",49,8313.0
"Cosmic Rays, Dark Matter, and the Mysteries of the Universe",Intermediate,English,English,49,31419.0
Macroeconomic Diagnostics,Intermediate,English,English,25,25111.0
BioStatistics,Introductory,English,English,79,20802.0
Results-Based Project Management: Monitoring and Evaluation,Intermediate,English,English,199,10618.0
Estrategias y estilos de negociación,Introductory,Español,English,149,15297.0
Políticas efectivas de desarrollo infantil,Intermediate,Español,"English, Español, Português",25,17820.0
Alzheimer’s Disease & Dementia Care,Intermediate,English,English,49,22011.0
Understanding Classroom Interaction,Introductory,English,English,49,18168.0
Sign Language Science: Emergence and Evolution of Sign Language,Introductory,English,English,99,12166.0
International Humanitarian Law,Advanced,English,English,150,39672.0
"Educación de calidad para todos: equidad, inclusión y atención a la diversidad",Introductory,Español,Español,49,12084.0
Introduction to Astrophysics,Introductory,English,English,139,14673.0
Epidemics I,Introductory,English,"English, 中文, 中文",139,7032.0
Introducción a la genética y la evolución,Introductory,Español,Español,49,14852.0
Fundamentals of Macroeconomics,Introductory,English,English,129,0.0
"Blockchain and FinTech: Basics, Applications, and Limitations",Introductory,English,"English, 中文",199,7397.0
Molecular Biology - Part 2: Transcription and Transposition,Advanced,English,"English, 中文",99,45760.0
"One Planet, One Ocean",Intermediate,English,English,49,56485.0
Reputation Management in a Digital World,Intermediate,English,English,99,23321.0
Google Ads: publicidad efectiva,Introductory,Español,Español,49,9665.0
Introducción a la energía solar fotovoltaica: El módulo fotovoltaico,Intermediate,Español,Español,50,47083.0
Computer Vision Fundamentals with Watson and OpenCV,Introductory,English,English,99,8697.0
Japanese Business Management,Intermediate,English,English,129,0.0
Introduction to Cloud Computing,Introductory,English,English,49,0.0
Fundamentos de logística,Introductory,Español,Español,29,0.0
Sustainable Urban Development,Introductory,English,English,50,10118.0
Introduction to Biomedical Imaging,Introductory,English,English,99,7544.0
Introducción a la programación en Java: empezando a programar,Introductory,Español,Español,49,11741.0
"Circuits and Electronics 2: Amplification, Speed, and Delay",Intermediate,English,"English, 中文",169,11426.0
China’s Political and Intellectual Foundations: From Sage Kings to Confucius,Introductory,English,"English, 中文",139,28404.0
Introduction to DevOps and Site Reliability Engineering,Introductory,English,English,149,47792.0
SQL aplicado en la  ciencia de datos,Introductory,Español,Español,39,16853.0
Sign Language Science: Factors Contributing to Nature Structure,Introductory,English,English,99,0.0
Gender and Intersectionality,Introductory,English,English,50,35367.0
Digital Transformation in Business,Advanced,English,English,214,7419.0
Designing and Creating Trousers,Introductory,English,English,99,36289.0
Introducción a la teoría política: conceptos y grandes pensadores,Introductory,Español,Español,59,42381.0
"Human Rights, Human Wrongs: Challenging Poverty, Vulnerability and Social Exclusion",Intermediate,English,"English, Русский",49,22246.0
Industry 4.0: How to Revolutionize your Business,Introductory,English,English,50,7056.0
Desafíos y oportunidades en la economía digital,Introductory,Español,Español,25,9274.0
Pensamiento crítico: toma de decisiones razonadas,Introductory,Español,Español,149,14629.0
"MathTrackX: Polynomials, Functions and Graphs",Introductory,English,English,79,0.0
Sustainable Food Security: Crop Production,Intermediate,English,English,49,10961.0
Cannabis Cultivation and Processing,Introductory,English,English,179,7017.0
"Data, Models and Decisions in Business Analytics",Advanced,English,Sin dato,249,14052.0
Data Structures Fundamentals,Intermediate,English,English,99,6426.0
Shaping Work of the Future,Introductory,English,English,49,27338.0
Introducción a la robótica e industria 4.0,Introductory,Español,Español,49,87539.0
Fighting for Equality: 1950–2018,Intermediate,English,English,50,30731.0
"Design Thinking: Ideation, Iteration and Communication",Intermediate,English,English,299,9347.0
Negotiation Strategies and Styles,Intermediate,English,English,149,6166.0
Crear música con tecnología,Introductory,Español,Español,49,6273.0
Análisis de datos: Diseño y Visualización de Tableros,Intermediate,Español,"English, Español",49,8032.0
Comunicación estratégica: gestión de crisis e imagen pública,Introductory,Español,Español,49,12667.0
"Understanding Agribusiness, Value Chains, and Consumers in Global Food Systems",Intermediate,English,English,199,23335.0
Unlocking Information Security: Part II,Intermediate,English,"اللغة العربية, English, עברית",149,36827.0
Human Rights Defenders,Introductory,English,English,49,28580.0
Product Design: The Delft Design Approach,Intermediate,English,English,79,30030.0
Introduction to Psychology | 心理学概论,Introductory,中文,English,139,38041.0
Circuits and Electronics 3: Applications,Intermediate,English,"English, 中文",169,52667.0
Vaccines: from smallpox to technologies of the future,Intermediate,English,English,49,9114.0
Le management,Introductory,Français,Français,149,0.0
Circular Economy for a Sustainable Built Environment,Intermediate,English,English,50,16013.0
Agile Innovation and Problem Solving Skills,Advanced,English,English,199,21296.0
International Investment Law,Advanced,English,English,150,0.0
Animation and CGI Motion,Advanced,English,English,249,6746.0
Terrorism and Counterterrorism,Introductory,English,English,49,0.0
Découvrir le marketing,Intermediate,Français,Français,150,20052.0
Solar Energy: Photovoltaic (PV) Energy Conversion,Advanced,English,English,250,10856.0
Introduction to Actuarial Science,Introductory,English,English,49,0.0
PredictionX: Lost Without Longitude,Introductory,English,English,49,0.0
Introducción a la Inteligencia Artificial de Watson,Introductory,Español,Español,49,8118.0
Dealing with Power and Dynamics: Discover Your Leadership Style and Influence Stakeholders,Intermediate,English,English,125,6169.0
Instructional Design and Technology: Learning Theories,Intermediate,English,English,299,18690.0
"Algorithms: Design and Analysis, Part 2",Intermediate,English,English,149,8250.0
The Math of Data Science: Linear Algebra,Intermediate,English,English,159,11275.0
Introducción al quirófano,Intermediate,Español,Español,49,24667.0
The Hardware of a Quantum Computer,Intermediate,English,English,79,0.0
Grabar y mezclar música,Introductory,Español,Español,49,11812.0
Leadership focused on Human Flourishing,Intermediate,English,English,149,61824.0
Automata Theory,Advanced,English,English,129,43125.0
¡Conceptos básicos de Python para Data Science!,Introductory,Español,Español,49,5367.0
Herramientas para el Análisis de Big Data,Intermediate,Español,Español,49,80425.0
Foundations of Central Bank Law,Intermediate,English,English,25,7253.0
C Programming: Modular Programming and Memory Management,Introductory,English,English,49,12826.0
Enseñanza temprana de matemáticas y ciencias,Introductory,Español,Español,25,25024.0
Entrepreneurship 102: What can you do for your customer?,Introductory,English,English,49,5289.0
Italian Language and Culture: Advanced (2019-2020),Advanced,Italiano,Italiano,49,10281.0
Introduction to Marketing,Introductory,English,English,149,44669.0
Origins of the Human Mind,Introductory,English,English,49,40620.0
Introduction to Geometry,Introductory,English,English,50,51918.0
The Future of Work: Preparing for Disruption,Introductory,English,"اللغة العربية, English, Español, Français, Русский, 中文",5,7789.0
Clinical Reasoning Process,Introductory,English,English,149,44037.0
Datos para la efectividad de las políticas públicas,Introductory,Español,Español,25,34550.0
Media Law,Introductory,English,English,249,31077.0
Líderes para la Gestión en Seguridad Ciudadana y Justicia,Intermediate,Español,Español,25,26453.0
"Diseña, fabrica y programa tu propio robot",Introductory,Español,Español,75,9028.0
Pivoting to Online Teaching: Research and Practitioner Perspectives,Introductory,English,English,139,6169.0
Circular Economy: An Interdisciplinary Approach,Advanced,English,English,149,9752.0
Calculus 1B: Integration,Intermediate,English,English,100,39137.0
Algorithmic Design and Techniques,Intermediate,English,English,99,0.0
Drinking Water Treatment,Intermediate,English,English,50,12384.0
Fundamentos de información financiera y contable,Intermediate,Español,Español,49,26060.0
Les principes de la finance,Intermediate,Français,Français,150,17321.0
Music Technology Foundations,Introductory,English,English,169,9010.0
The Entrepreneurial Mindset,Introductory,English,English,149,0.0
"Anatomy: Gastrointestinal, Reproductive and Endocrine Systems",Introductory,English,English,49,37538.0
Risk Management and Credit Principles,Advanced,English,English,199,9899.0
Steps in Japanese for Beginners1 Part3,Introductory,English,English,99,31031.0
Structural Materials: Selection and Economics,Introductory,English,English,50,0.0
Algorithm Design and Analysis,Intermediate,English,English,149,35162.0
Estructuras de Datos con Python,Introductory,Español,Español,49,19728.0
Mandarin Chinese for Business,Intermediate,English,English,149,5311.0
Bases Matemáticas: Números y terminología,Intermediate,Español,Español,50,25041.0
Arab-Islamic History: From Tribes to Empires,Introductory,English,English,149,0.0
Human-Computer Interaction I: Fundamentals & Design Principles,Introductory,English,English,99,11184.0
Modeling and simulation of multibody systems,Intermediate,English,English,50,0.0
The Science of Parenting,Introductory,English,English,49,11443.0
Inclusive Teaching: Supporting All Students in the College Classroom,Introductory,English,English,49,6923.0
Analytics for Decision Making,Introductory,English,English,249,7581.0
Principios de Análisis e Instrumentos Financieros,Intermediate,Español,Español,49,0.0
DNA: Biology’s Genetic Code,Intermediate,English,English,169,13340.0
Music For Wellness,Introductory,English,English,49,0.0
Mining Massive Datasets,Advanced,English,English,149,41021.0
Introduction to Electrical and Electronic Engineering - 電気電子工学入門 -,Introductory,English,"English, 日本語",50,27761.0
A travel by Spanish America: Spanish for beginners,Introductory,Español,Español,49,7460.0
Introducción a la Inteligencia Artificial,Introductory,Español,Español,49,22089.0
Introducción a la Inteligencia Artificial: Principales Algoritmos,Introductory,Español,Español,49,40106.0
Digital Security and Human Rights,Introductory,English,English,49,26600.0
Critical thinking: reasoned decision making,Introductory,English,English,149,69064.0
Introduction to the Internet of Things,Introductory,English,English,50,6409.0
Trading - Fundamentals of Technical Analysis,Introductory,English,English,199,19171.0
Riñones: conoce sus funciones para mejorar tu salud y calidad de vida,Introductory,Español,Español,49,65711.0
Design Thinking: Empathizing to Understand the Problem,Intermediate,English,English,299,8644.0
Storytelling in the Workplace,Introductory,English,English,199,21591.0
Marketing Analytics: Price and Promotion Analytics,Intermediate,English,English,249,8192.0
Implementation of Data Structures,Intermediate,English,English,149,7360.0
Activism and Citizen Journalism through Media,Introductory,English,English,49,46607.0
Electric and Conventional Vehicles,Advanced,English,English,249,13480.0
Big Data Fundamentals,Intermediate,English,English,199,5980.0
Sustainable Food Security: The value of systems thinking,Introductory,English,English,49,0.0
Knowledge Management and Big Data in Business,Introductory,English,English,50,10488.0
Uso efectivo del tiempo,Introductory,Español,Español,49,0.0
C Programming: Pointers and Memory Management,Introductory,English,English,49,5410.0
Astrophysics: The Violent Universe,Intermediate,English,English,50,23441.0
Landscape Ecology,Intermediate,English,English,50,0.0
IoT Programming and Big Data,Introductory,English,English,199,0.0
AWS: Getting Started with Cloud Security,Introductory,English,English,49,9762.0
Introducción a la gravedad cuántica de lazos,Introductory,Español,"English, Español",50,17055.0
Introduction to the Music Business,Introductory,English,English,49,0.0
Introducción a la programación en C: Tipos de datos y estructuras,Introductory,Español,Español,49,5719.0
Visualización de Datos y Storytelling,Intermediate,Español,Español,49,16905.0
Negociación exitosa: Estrategias y habilidades esenciales (en español),Introductory,Español,Español,49,0.0
"Feeding a Hungry Planet: Agriculture, Nutrition and Sustainability",Intermediate,English,"English, Русский",49,33656.0
Macroeconomics - The Basics,Introductory,English,English,79,28472.0
Fundamentals of Financial Mathematics and Capital Budgeting,Introductory,English,English,99,37158.0
Gestión participativa: motivación y liderazgo organizacional,Intermediate,Español,Español,79,9144.0
Herramientas de ciencia de datos: uso práctico,Introductory,Español,Español,39,0.0
Bienestar para el desarrollo personal y profesional,Intermediate,Español,"English, Español",29,28337.0
Energía eléctrica: conceptos y principios básicos,Intermediate,Español,Español,49,12918.0
Market Segmentation Analysis,Intermediate,English,English,99,0.0
Pensamento crítico: tomada de decisões fundamentadas,Introductory,Português,Português,149,10551.0
AP® English Literature & Composition – Part 2: Poems,Introductory,English,English,49,5280.0
"Electrical, Optical & Magnetic Materials and Devices",Intermediate,English,English,150,0.0
Advanced Cardiac Imaging: Cardiac Computed Tomography (CT),Introductory,English,"English, Français, 中文, 中文",99,5914.0
How to Design a Successful Business Model,Introductory,English,"Deutsch, English, Español, Français",99,10858.0
Ecodesign for Cities and Suburbs,Introductory,English,Sin dato,99,0.0
Agile Software Development,Introductory,English,English,50,18943.0
Diseño de sistemas de información gerencial para intranet con Microsoft Access,Intermediate,Español,Español,49,23703.0
Essentials of Program Strategy and Evaluation,Introductory,English,English,50,8565.0
Gestão de Projetos de Desenvolvimento,Introductory,Português,Português,49,28398.0
Innovation: From Plan to Product,Intermediate,English,English,249,0.0
Introduction to Database Queries,Introductory,English,English,166,43009.0
Climate Change: Carbon Capture and Storage,Introductory,English,English,49,6594.0
Reservoir Geomechanics,Introductory,English,English,129,16028.0
Fundamentos de administración estratégica,Intermediate,Español,Español,49,0.0
IoT System Architecture: Design and Evaluation,Introductory,English,English,99,0.0
Noongar Language and Culture,Introductory,English,English,139,32049.0
Sorting Truth From Fiction: Civic Online Reasoning,Introductory,English,English,49,7246.0
Sustainable Food Security: Food Access,Introductory,English,English,49,12719.0
Bases Matemáticas: Integrales,Introductory,Español,Español,50,16954.0
Epidemics II,Introductory,English,"English, 中文, 中文",139,15914.0
Derechos humanos: Los derechos de las personas refugiadas,Introductory,Español,Español,49,0.0
